,Location,location,feature_class,latitude,longitude,Closest Ocean Basin,Distance to Nearest Ocean
4423,Milazzo Marine Protected Area,Milazzo,P,38.22008,15.24023,22.0,38.4942623414806
4424,Kerawalapitiya,exact,P,7.0112,79.8842,17.0,68.92109451883398
4425,Seribu Islands,Seribu,P,1.10917,104.13762,11.0,59.25748362039924
4426,Carteret County,exact,A,34.86401,-76.53249,3.0,40.58494282890491
4427,Colombo,exact,P,6.93548,79.84868,16.0,61.86639379696736
4428,Siying Co Basin,Siying,P,36.40168,106.15825,9.0,32.46292494911196
4429,Niterói - RJ,Niterói,P,-22.88333,-43.10361,7.0,58.91051682107785
4430,Thailand,exact,A,15.5,101.0,15.0,53.57539663763071
4431,Qishan River,exact,H,22.83222,120.46667,9.0,37.099140950111796
4432,Bay Brest,Bay,A,3.0,43.5,17.0,55.59746332227936
4433,Turkey,exact,A,39.0,35.0,22.0,70.31861610515982
4434,Liujiaxia Reservoir,exact,H,35.82833,103.19417,9.0,45.78450047657217
4435,China Sea Areas,China,A,35.0,105.0,9.0,71.78085647499285
4436,Northern Patagonia,Northern,L,-20.04022,145.93238,13.0,68.17525853743878
4437,Bath,exact,P,51.3751,-2.36172,3.0,16.87464902255152
4438,English Southwest Peninsula,English,L,48.06686,-81.28312,3.0,50.76612956729949
4439,Guaraqueçaba Environmental Protection Area,Guaraqueçaba,A,-25.15156,-48.35949,7.0,41.238295256192956
4440,Asia-Pacific region,Region,S,37.22032,-86.47026,3.0,31.209877661924086
4441,Southwestern Atlantic Ocean,South Western,A,51.0,-3.16667,3.0,60.24350096392992
4442,"Buriganga, Turag,",Buriganga River,H,23.63035,90.45405,15.0,15.232102140096128
4443,Dublin,exact,P,53.33306,-6.24889,3.0,24.9302180861619
4444,Kaohsiung City,exact,P,22.61626,120.31333,9.0,23.120524605931315
4445,Mar Menor lagoon,Mar,P,63.525,118.99417,9.0,24.66457541262212
4446,Ahe,exact,P,51.21233,7.44515,3.0,32.213393664800435
4447,Kampung Peres,exact,P,4.948,103.0322,11.0,71.89553370826464
4448,Massacciuccoli,exact,P,43.83555,10.35972,22.0,38.980177749876844
4449,Tebrau River,exact,H,56.85451,21.20917,24.0,43.23791828074635
4450,Lisianski,exact,T,26.06403,-173.96559,8.0,67.11799123121344
4451,Rías,exact,P,43.13918,-9.18946,2.0,47.33752743689551
4452,Anodonta sp,São Paulo,A,-22.0,-49.0,7.0,75.75582882509197
4453,Mangaluru,exact,P,12.91723,74.85603,15.0,60.36388844761303
4454,Arctic,exact,L,75.58494,-43.94531,21.0,15.557355663974803
4455,Estuarine Complex,Complex,P,35.57819,-80.06644,3.0,40.181003302887326
4456,South Aceh Regency,South,L,33.45876,-90.15081,3.0,32.7089856377989
4457,Kollevåg,exact,H,59.32926,5.74486,3.0,23.502594670963077
4458,Eastern Guangdong,Eastern,A,19.31667,-81.13333,2.0,43.52406827164897
4459,Central Ligurian Sea,Central,L,55.75383,37.6224,3.0,29.251884154669053
4460,Schleswig,exact,P,42.16527,-95.43694,3.0,37.57949173057305
4461,"Xiangshan Bay,",Xiangshan,P,29.80222,120.35583,9.0,36.37872791010541
4462,Leocadio Machado,Leocadia,L,21.88333,-78.65,3.0,45.35444563318385
4463,Shijiao,exact,P,24.23934,120.85,9.0,45.791091026935625
4464,Adour Estuary,Adour,P,30.24802,-9.46903,3.0,28.175976295976554
4465,Pulau Burung,exact,L,5.20647,100.42545,17.0,33.6663967488337
4466,Navegantes,exact,A,-26.81774,-48.73468,7.0,42.33388520226138
4467,Cuijiaying,exact,P,27.66508,102.17443,9.0,36.96663784009798
4468,Zhongxin,exact,P,41.5735,122.12405,9.0,32.34104241993695
4469,Lake Whitney,exact,H,28.52203,-81.55254,3.0,5.6881681130524
4470,Medan,exact,P,3.58333,98.66667,17.0,20.688462782609307
4471,Espejo Chico,exact,P,20.78631,-98.2329,1.0,42.261173826588205
4472,Yellow Seas,exact,H,36.0,124.0,9.0,71.42360692649306
4473,Jiaozhou Bay,exact,H,36.13722,120.24417,9.0,46.396287645510974
4474,Eastern Tuna,exact,H,44.35016,-65.21551,3.0,28.07121057102402
4475,Patagonian Shelf,Patagonia,L,-44.0,-68.0,7.0,68.38882046598631
4476,Eastern North Pacific,Eastern,A,19.31667,-81.13333,2.0,43.52406827164897
4477,Challenger Deep,exact,H,8.71111,123.23694,11.0,37.24922918582916
4478,Paracaudina sp.,São Paulo,A,-22.0,-49.0,7.0,75.75582882509197
4479,Republic Korea's,Republic,P,39.96258,-79.87671,17.0,32.365596699316455
4480,Scandinavia,exact,L,63.0,12.0,21.0,60.96918096534067
4481,Jade,exact,P,14.57526,75.04567,15.0,49.61258990967904
4482,"Banda Aceh City, Aceh Province",Bānda,P,25.47758,80.33491,15.0,16.756939797840005
4483,Cooum Estuary,Cooum,P,13.02003,79.82629,15.0,63.99598328486135
4484,Torrens River,exact,H,-40.94825,173.01017,13.0,64.71616576762743
4485,Tallo river,exact,H,43.91667,70.5,3.0,46.331590084988996
4486,Channel coastlines,Channel,L,45.21319,-72.2313,3.0,38.18216548149576
4487,Mirim Lagoon,exact,H,6.11667,171.91667,10.0,62.749711906633294
4488,BangBo,exact,P,28.9,88.7,15.0,48.56751673976019
4489,lower St. Johns River,Bulbogan,P,12.89931,121.45722,9.0,44.64308701748592
4490,Maui County,exact,A,2.8,31.25,17.0,43.40396121277351
4491,Risso,exact,P,-33.62168,-57.57275,7.0,15.116421379649747
4492,Sanya Lu Hui Tou,Sanya,P,18.24306,109.505,9.0,28.575296231966835
4493,Southeast Brazil,exact,H,38.73817,-76.213,3.0,36.37396706943472
4494,Sub-Antarctic Macquarie Island,Macquarie,P,-35.25126,149.06363,19.0,48.27293600405972
4495,Western Atlantic Ocean,exact,U,30.0,-60.0,2.0,73.46865591563588
4496,Sousa chinensis,Sousa,A,41.34842,-8.24792,3.0,26.94132440352367
4497,Corfu island,exact,T,11.9286,120.2412,9.0,55.3650384918365
4498,Beibu Bay,Beibu,P,24.70028,121.05611,9.0,50.100061175911726
4499,SIS,exact,P,40.76423,48.58213,3.0,30.187399877448996
4500,Petaling,exact,A,3.08333,101.58333,11.0,47.246049614724456
4501,Laizhou Bay,exact,H,37.31056,119.36,9.0,24.42626098088789
4502,Rockall Trough,exact,U,57.0,-12.0,2.0,63.21108208410357
4503,Barobo,exact,A,5.0,-7.96667,5.0,75.90274289639773
4504,Gadilam river,exact,H,11.73567,79.77686,15.0,39.9502624257664
4505,PA,exact,P,12.66667,-3.95,3.0,52.234103744559185
4506,Funafuti Atoll,exact,T,-8.50485,179.12266,10.0,41.50065799534698
4507,Penang,exact,T,5.37292,100.24963,17.0,31.109108127071604
